Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
1454,4358383,67,11,single,rented,yes,Drafter,Pune,Maharashtra,6,13,0
1461,6296539,30,19,single,owned,no,Psychologist,Kalyan-Dombivli,Maharashtra,3,10,0
1472,3797942,78,10,single,rented,no,Scientist,Satara,Maharashtra,7,14,0
1485,911309,69,12,single,rented,no,Flight_attendant,Nanded,Maharashtra,9,13,1
1499,7058931,40,10,single,rented,no,Librarian,Ambarnath,Maharashtra,10,13,1
1502,4539410,35,5,single,owned,no,Software_Developer,Parbhani,Maharashtra,5,12,0
1516,3140751,21,2,single,rented,no,Technology_specialist,Parbhani,Maharashtra,2,10,0
1522,9578850,57,13,single,rented,no,Microbiologist,Amravati,Maharashtra,11,11,1
1561,3779002,57,8,single,rented,no,Graphic_Designer,Amravati,Maharashtra,8,14,1
1574,660630,70,1,single,rented,yes,Chartered_Accountant,Pune,Maharashtra,1,10,1
1583,3926552,21,4,single,owned,no,Design_Engineer,Nashik,Maharashtra,4,12,0
1587,2662346,27,17,single,rented,no,Engineer,Aurangabad,Maharashtra,8,11,0
1600,8886565,68,14,single,rented,no,Industrial_Engineer,Dhule,Maharashtra,5,14,0
1607,5037199,77,14,single,rented,no,Web_designer,Ulhasnagar,Maharashtra,7,13,0
1612,9237595,53,6,single,rented,no,Librarian,Ambarnath,Maharashtra,5,11,0
1616,1222892,74,7,single,rented,yes,Politician,Jalgaon,Maharashtra,5,12,0
1628,7829891,67,20,single,rented,no,Army_officer,Nagpur,Maharashtra,9,11,0
1638,7757255,75,0,single,rented,no,Comedian,Kalyan-Dombivli,Maharashtra,0,14,0
1651,6754188,26,2,single,rented,yes,Web_designer,Mumbai,Maharashtra,2,14,0
1663,9744011,44,0,single,rented,yes,Web_designer,Dhule,Maharashtra,0,10,0
1668,5127014,76,0,married,rented,no,Mechanical_engineer,Ulhasnagar,Maharashtra,0,13,0
1671,2592581,62,20,single,rented,yes,Aviator,Jalna,Maharashtra,14,10,0
1678,7532651,49,15,married,rented,no,Comedian,Kalyan-Dombivli,Maharashtra,9,12,0
1682,2926684,35,1,single,rented,yes,Engineer,Kolhapur,Maharashtra,1,11,0
1689,98356,50,4,single,rented,yes,Politician,Malegaon,Maharashtra,4,13,1
1692,5950133,58,7,single,rented,no,Technical_writer,Malegaon,Maharashtra,7,10,0
1698,371671,34,6,single,rented,no,Statistician,Kalyan-Dombivli,Maharashtra,6,12,0
1700,3915230,40,16,married,rented,yes,Computer_hardware_engineer,Vasai-Virar,Maharashtra,11,14,0
1702,3984731,28,1,single,rented,no,Web_designer,Ulhasnagar,Maharashtra,1,13,0
1711,7157631,30,13,single,owned,yes,Fashion_Designer,Pimpri-Chinchwad,Maharashtra,10,14,0
1719,1969614,56,14,single,rented,yes,Drafter,Jalna,Maharashtra,12,14,0
1738,3238461,35,16,single,rented,no,Engineer,Thane,Maharashtra,8,13,1
1746,2017565,62,9,single,rented,no,Technology_specialist,Panvel,Maharashtra,6,11,0
1769,9337934,67,16,single,norent_noown,no,Surgeon,Dhule,Maharashtra,4,13,0
1785,8324652,70,14,single,rented,no,Psychologist,Mira-Bhayandar,Maharashtra,12,11,0
1790,6861266,58,3,single,rented,yes,Economist,Satara,Maharashtra,3,13,0
1791,1576759,76,0,single,rented,yes,Computer_operator,Ichalkaranji,Maharashtra,0,13,0
1802,7100378,60,18,single,owned,no,Civil_engineer,Panvel,Maharashtra,11,11,1
1805,1481287,33,19,single,rented,yes,Fashion_Designer,Nanded,Maharashtra,8,11,0
1806,1453440,66,11,single,rented,no,Dentist,Jalna,Maharashtra,11,14,0
1822,957493,72,14,single,rented,no,Aviator,Satara,Maharashtra,9,14,0
1826,5832406,24,4,single,rented,yes,Designer,Sangli-Miraj_&_Kupwad,Maharashtra,4,12,1
1830,9700230,55,20,single,rented,no,Lawyer,Nagpur,Maharashtra,8,13,1
1834,1351218,57,0,single,rented,yes,Politician,Pimpri-Chinchwad,Maharashtra,0,12,0
1835,1047915,23,4,single,rented,yes,Artist,Dhule,Maharashtra,4,11,1
1849,11430,70,20,single,rented,yes,Civil_servant,Kalyan-Dombivli,Maharashtra,3,13,0
1860,5253347,23,5,single,rented,no,Comedian,Ulhasnagar,Maharashtra,5,13,0
1868,8366327,56,2,single,rented,yes,Mechanical_engineer,Ahmednagar,Maharashtra,2,10,0
1881,8929282,36,19,single,rented,no,Computer_hardware_engineer,Mumbai,Maharashtra,3,12,0
1889,7720372,72,6,single,rented,yes,Physician,Mira-Bhayandar,Maharashtra,6,11,1
1896,6360884,65,8,single,rented,yes,Comedian,Latur,Maharashtra,5,11,0
1898,5865272,61,18,single,rented,no,Artist,Amravati,Maharashtra,9,11,0
1899,1473816,68,10,single,rented,no,Chartered_Accountant,Nashik,Maharashtra,10,12,0
1901,1034564,27,17,single,rented,no,Flight_attendant,Nashik,Maharashtra,8,12,0
1916,1079145,66,16,single,rented,yes,Engineer,Kolhapur,Maharashtra,9,13,1
1929,9747887,40,19,single,rented,no,Web_designer,Aurangabad,Maharashtra,4,14,0
1937,2670187,23,8,single,rented,no,Politician,Nanded,Maharashtra,8,10,0
1944,6642820,78,8,single,rented,no,Air_traffic_controller,Nanded,Maharashtra,6,11,0
1955,1223549,66,19,single,rented,no,Secretary,Ambarnath,Maharashtra,14,13,0
1960,1891120,59,10,single,rented,no,Web_designer,Parbhani,Maharashtra,10,11,0
1971,974748,42,6,single,rented,no,Biomedical_Engineer,Nagpur,Maharashtra,6,11,1
1981,8217987,56,13,single,rented,yes,Graphic_Designer,Kolhapur,Maharashtra,8,14,0
1987,7477764,34,3,single,rented,yes,Artist,Sangli-Miraj_&_Kupwad,Maharashtra,3,12,0
1993,8640226,40,12,single,owned,no,Financial_Analyst,Pimpri-Chinchwad,Maharashtra,9,10,0
2013,1956676,65,12,single,rented,no,Librarian,Vasai-Virar,Maharashtra,8,11,0
2014,4592797,66,20,single,rented,no,Computer_operator,Ambarnath,Maharashtra,13,11,0
2038,9726816,73,0,single,rented,no,Chef,Aurangabad,Maharashtra,0,11,0
2043,335003,75,11,single,norent_noown,no,Economist,Jalna,Maharashtra,11,13,1
2048,4089865,71,11,single,rented,no,Computer_hardware_engineer,Ichalkaranji,Maharashtra,7,11,0
2054,854406,68,13,single,rented,no,Petroleum_Engineer,Nashik,Maharashtra,7,12,0
2071,9656322,56,15,single,rented,yes,Firefighter,Jalgaon,Maharashtra,7,11,0
2075,1053988,73,6,single,owned,no,Software_Developer,Nashik,Maharashtra,6,13,1
2083,1798025,45,18,single,rented,no,Statistician,Malegaon,Maharashtra,10,12,0
2089,2874640,50,10,single,rented,no,Web_designer,Vasai-Virar,Maharashtra,9,12,0
2096,2256811,77,4,single,rented,yes,Chemical_engineer,Ahmednagar,Maharashtra,4,14,0
2114,5069235,26,10,single,rented,yes,Biomedical_Engineer,Jalna,Maharashtra,9,14,0
2115,6036833,25,11,single,rented,no,Chemical_engineer,Bhusawal,Maharashtra,11,12,0
2127,5403583,44,14,married,rented,yes,Geologist,Navi_Mumbai,Maharashtra,8,12,0
2139,3038020,30,15,single,rented,yes,Firefighter,Bhusawal,Maharashtra,4,10,1
2163,147581,74,18,single,norent_noown,no,Chartered_Accountant,Jalgaon,Maharashtra,9,11,1
2164,4971595,54,8,single,owned,no,Dentist,Nagpur,Maharashtra,8,13,0
2181,2559385,74,14,married,rented,yes,Chemical_engineer,Latur,Maharashtra,9,12,0
2186,4423589,33,19,single,rented,no,Chartered_Accountant,Navi_Mumbai,Maharashtra,8,12,1
2190,9417795,46,8,single,owned,no,Technology_specialist,Akola,Maharashtra,8,11,0
2195,3230942,46,18,single,rented,no,Graphic_Designer,Dhule,Maharashtra,12,10,0
2238,8323780,62,8,single,rented,yes,Designer,Dhule,Maharashtra,5,14,0
2239,8284930,27,17,single,rented,no,Comedian,Amravati,Maharashtra,8,11,0
2254,9275320,28,12,single,rented,no,Civil_engineer,Bhiwandi,Maharashtra,3,13,1
2291,2062664,55,6,single,rented,no,Graphic_Designer,Navi_Mumbai,Maharashtra,6,13,0
2297,4060312,53,9,single,rented,no,Drafter,Kolhapur,Maharashtra,8,12,0
2318,3262793,29,5,single,rented,yes,Air_traffic_controller,Navi_Mumbai,Maharashtra,5,13,0
2329,4195860,46,8,single,rented,no,Hotel_Manager,Mira-Bhayandar,Maharashtra,5,11,0
2343,7500815,31,18,married,rented,yes,Economist,Satara,Maharashtra,14,11,0
2353,469269,65,7,single,rented,no,Software_Developer,Nashik,Maharashtra,3,12,1
2354,5545217,52,12,married,rented,no,Fashion_Designer,Pimpri-Chinchwad,Maharashtra,9,13,0
2371,4862321,65,16,married,rented,yes,Surgeon,Nanded,Maharashtra,9,11,0
2394,9979065,49,8,single,rented,yes,Civil_engineer,Parbhani,Maharashtra,8,13,1
2403,7970733,26,7,single,rented,yes,Web_designer,Ichalkaranji,Maharashtra,7,13,1
2417,7651121,64,13,single,owned,no,Graphic_Designer,Nagpur,Maharashtra,6,13,0
2433,5194869,59,15,single,rented,no,Software_Developer,Satara,Maharashtra,10,10,0
2442,1467935,28,8,married,rented,no,Aviator,Ambarnath,Maharashtra,8,13,0
2483,7075033,21,1,single,rented,no,Technician,Malegaon,Maharashtra,1,12,0
2484,3139818,57,20,married,rented,no,Air_traffic_controller,Nanded,Maharashtra,3,10,0
2487,7694525,44,18,single,rented,yes,Geologist,Jalgaon,Maharashtra,12,10,0
2488,2295033,71,12,single,rented,no,Fashion_Designer,Ichalkaranji,Maharashtra,10,11,0
2494,557674,62,18,single,rented,no,Industrial_Engineer,Ulhasnagar,Maharashtra,5,14,0
2498,647926,35,5,single,rented,yes,Petroleum_Engineer,Aurangabad,Maharashtra,5,11,0
2512,6068842,29,6,single,rented,no,Technician,Mumbai,Maharashtra,6,14,1
2525,2503015,66,18,single,rented,yes,Secretary,Jalgaon,Maharashtra,11,13,0
2553,229131,76,10,single,rented,no,Aviator,Ichalkaranji,Maharashtra,10,13,1
2569,2389509,61,15,married,rented,no,Technical_writer,Thane,Maharashtra,10,10,0
2580,3274307,41,16,single,rented,yes,Secretary,Panvel,Maharashtra,6,12,0
2597,2725660,32,7,single,rented,no,Army_officer,Malegaon,Maharashtra,7,10,0
2598,1049794,66,13,single,rented,no,Technical_writer,Ambarnath,Maharashtra,9,11,0
2607,8396271,24,14,married,rented,yes,Air_traffic_controller,Latur,Maharashtra,14,13,0
2616,9872943,78,16,single,owned,no,Scientist,Vasai-Virar,Maharashtra,14,13,1
2636,6497883,61,15,single,rented,no,Civil_engineer,Nanded,Maharashtra,9,11,0
2640,8589490,32,10,single,rented,no,Statistician,Amravati,Maharashtra,10,10,0
2643,3859945,64,5,single,rented,no,Comedian,Kolhapur,Maharashtra,5,13,0
2644,7662947,46,17,married,rented,yes,Microbiologist,Solapur,Maharashtra,3,10,0
2653,9017508,40,17,married,rented,yes,Petroleum_Engineer,Amravati,Maharashtra,6,13,0
2660,1741465,57,0,single,rented,no,Physician,Kalyan-Dombivli,Maharashtra,0,11,0
2668,2182490,48,6,single,rented,no,Technician,Navi_Mumbai,Maharashtra,6,11,0
2684,9250350,42,9,single,rented,no,Chef,Navi_Mumbai,Maharashtra,4,10,1
2686,8008800,36,16,single,rented,no,Consultant,Bhiwandi,Maharashtra,14,13,0
2694,5978301,73,7,single,rented,yes,Aviator,Bhusawal,Maharashtra,7,11,0
2695,8902378,41,16,single,rented,no,Technology_specialist,Kalyan-Dombivli,Maharashtra,5,14,0
2722,431500,51,10,single,rented,yes,Surveyor,Chandrapur,Maharashtra,10,11,1
2736,9071461,63,18,married,rented,yes,Microbiologist,Satara,Maharashtra,8,13,0
2737,6253045,75,7,single,rented,no,Consultant,Akola,Maharashtra,7,11,0
2742,3417564,52,18,single,rented,no,Software_Developer,Pimpri-Chinchwad,Maharashtra,10,14,0
2752,6346747,26,5,single,rented,no,Hotel_Manager,Panvel,Maharashtra,5,14,0
2755,8059284,72,1,single,rented,yes,Financial_Analyst,Satara,Maharashtra,1,13,1
2787,6604073,36,18,single,rented,yes,Drafter,Bhiwandi,Maharashtra,4,12,0
2793,3033225,71,2,single,rented,no,Drafter,Ambarnath,Maharashtra,2,14,0
2794,7686186,69,15,single,owned,yes,Air_traffic_controller,Bhiwandi,Maharashtra,4,13,0
2817,7692135,40,1,single,rented,yes,Comedian,Navi_Mumbai,Maharashtra,1,12,0
2824,601404,47,20,single,rented,no,Petroleum_Engineer,Navi_Mumbai,Maharashtra,8,10,1
2826,2844373,28,3,single,rented,no,Psychologist,Vasai-Virar,Maharashtra,3,11,1
2845,8293745,60,12,married,rented,no,Designer,Dhule,Maharashtra,12,10,0
2854,1669120,77,19,single,rented,yes,Engineer,Pimpri-Chinchwad,Maharashtra,9,10,0
2876,6474681,31,6,single,rented,no,Civil_engineer,Mumbai,Maharashtra,6,10,0
2878,3728026,48,17,single,rented,yes,Official,Nanded,Maharashtra,11,12,0
2884,2681565,46,11,single,rented,no,Firefighter,Akola,Maharashtra,11,14,0
2899,4298965,22,10,single,rented,no,Technical_writer,Panvel,Maharashtra,10,14,0
2900,413811,78,6,single,rented,yes,Magistrate,Akola,Maharashtra,6,11,1
2901,9967854,33,9,single,rented,no,Consultant,Jalna,Maharashtra,5,13,0
2905,3391314,27,1,single,owned,no,Geologist,Latur,Maharashtra,1,10,0
2907,6134981,49,2,single,rented,yes,Hotel_Manager,Nanded,Maharashtra,2,10,1
2917,8663784,42,9,single,rented,no,Architect,Satara,Maharashtra,9,10,0
2931,2755203,64,15,single,rented,no,Aviator,Nanded,Maharashtra,11,12,1
2944,6588136,27,7,single,rented,no,Graphic_Designer,Malegaon,Maharashtra,6,10,0
2961,9243461,47,10,single,rented,no,Industrial_Engineer,Kolhapur,Maharashtra,10,12,0
2969,794175,52,1,single,rented,no,Aviator,Nanded,Maharashtra,1,12,1
2971,3350415,29,9,single,rented,no,Librarian,Vasai-Virar,Maharashtra,6,12,1
2977,753622,74,18,single,rented,no,Design_Engineer,Vasai-Virar,Maharashtra,10,10,0
2981,1151169,78,14,married,rented,yes,Hotel_Manager,Solapur,Maharashtra,13,14,0
2999,9380612,21,12,single,owned,yes,Air_traffic_controller,Satara,Maharashtra,4,13,0
3014,4654280,49,18,single,rented,yes,Psychologist,Mumbai,Maharashtra,11,11,0
3017,1074945,69,16,single,rented,no,Physician,Navi_Mumbai,Maharashtra,11,11,0
3039,9599976,59,15,single,rented,no,Computer_operator,Bhiwandi,Maharashtra,3,10,0
3043,430836,33,5,single,rented,no,Lawyer,Pune,Maharashtra,5,13,0
3067,8309631,78,16,single,rented,yes,Technology_specialist,Thane,Maharashtra,4,14,0
3081,6303559,40,0,single,rented,yes,Psychologist,Aurangabad,Maharashtra,0,14,0
3089,4528558,75,2,single,rented,yes,Chartered_Accountant,Nashik,Maharashtra,2,10,0
3095,8229070,38,7,single,rented,yes,Graphic_Designer,Kolhapur,Maharashtra,7,10,0
3101,7932170,66,4,single,rented,no,Civil_servant,Navi_Mumbai,Maharashtra,4,12,0
3116,1673702,69,5,single,rented,no,Fashion_Designer,Pune,Maharashtra,5,14,0
3127,357702,76,6,single,owned,no,Official,Solapur,Maharashtra,3,13,1
3136,6593030,78,15,single,rented,no,Aviator,Chandrapur,Maharashtra,11,12,0
3166,5157518,23,6,single,rented,no,Engineer,Thane,Maharashtra,6,14,0
3184,1065147,56,3,single,rented,no,Financial_Analyst,Ahmednagar,Maharashtra,3,10,0
3192,5891297,51,9,single,rented,no,Economist,Vasai-Virar,Maharashtra,9,10,0
3209,3720964,26,12,single,rented,no,Chartered_Accountant,Latur,Maharashtra,11,13,0
3213,2544949,39,15,single,rented,no,Computer_hardware_engineer,Amravati,Maharashtra,10,13,0
3214,6940796,46,17,single,rented,no,Analyst,Bhiwandi,Maharashtra,9,11,1
3230,6866088,68,19,married,rented,yes,Web_designer,Ichalkaranji,Maharashtra,10,13,0
